code,name,refreshed_at,from_date,to_date
A,"Agilent Technologies Inc. (A)",19/12/2018 01:48,18/11/1999,18/12/2018
AA,"Alcoa Corporation (AA)",19/12/2018 01:48,01/11/2016,18/12/2018
AAAP,"Advanced Accelerator Applications S.A. (AAAP)",08/04/2018 09:22,11/11/2015,09/02/2018
AAAU,"Perth Mint Physical Gold (AAAU)",19/12/2018 01:48,15/08/2018,18/12/2018
AABA,"Altaba Inc. (AABA)",19/12/2018 01:48,12/04/1996,18/12/2018
AAC,"AAC Holdings Inc. (AAC)",19/12/2018 01:48,02/10/2014,18/12/2018
AADR,"AdvisorShares Dorsey Wright ADR (AADR)",19/12/2018 01:48,21/07/2010,18/12/2018
AAIT,"iShares MSCI All Country Asia Information Tech (AAIT)",08/04/2018 08:28,10/02/2012,21/08/2015
AAL,"American Airlines Group Inc. (AAL)",19/12/2018 01:47,27/09/2005,18/12/2018
AAMC,"Altisource Asset Management Corp Com (AAMC)",19/12/2018 01:47,13/12/2012,18/12/2018
AAME,"Atlantic American Corporation (AAME)",19/12/2018 01:47,07/09/1984,18/12/2018
AAN,"Aaron's Inc. (AAN)",19/12/2018 01:48,07/09/1984,18/12/2018
AAOI,"Applied Optoelectronics Inc. (AAOI)",19/12/2018 01:47,26/09/2013,18/12/2018
AAON,"AAON Inc. (AAON)",19/12/2018 01:48,16/12/1992,18/12/2018
AAP,"Advance Auto Parts Inc W/I (AAP)",19/12/2018 01:47,29/11/2001,18/12/2018
AA_P,Untitled Dataset 2018-05-09 20:34:39,,,
AA_P_B,"Alcoa Inc. Depository Shares Series 1 (AA_P_B)",08/04/2018 08:57,24/09/2014,31/10/2016
AAPC,"Atlantic Alliance Partnership Corp. (AAPC)",08/04/2018 09:10,29/04/2015,04/10/2017
AAPL,"Apple Inc. (AAPL)",19/12/2018 01:48,12/12/1980,18/12/2018
AAT,"American Assets Trust Inc. (AAT)",19/12/2018 01:47,13/01/2011,18/12/2018
AAU,"Almaden Minerals Ltd. (AAU)",19/12/2018 01:48,20/12/2005,18/12/2018
AAV,"Advantage Oil & Gas Ltd (AAV)",22/09/2018 00:46,31/03/2004,21/09/2018
AAVL,"Avalanche Biotechnologies Inc. (AAVL)",07/04/2018 06:28,31/07/2014,11/05/2016
AAVVF,"Advantage Oil & Gas Ltd (AAVVF)",24/09/2018 21:46,31/03/2004,21/09/2018
AA_W,"Alcoa Corporation When Issued (AA_W)",08/04/2018 09:33,18/10/2016,31/10/2016
AAWW,"Atlas Air Worldwide Holdings (AAWW)",19/12/2018 01:47,09/11/2005,18/12/2018
AAXJ,"iShares MSCI All Country Asia ex Japan Index Fund (AAXJ)",19/12/2018 01:47,15/08/2008,18/12/2018
AAXN,"Axon Enterprise Inc. (AAXN)",19/12/2018 01:48,19/06/2001,18/12/2018
AB,"AllianceBernstein Holding L.P. Units (AB)",19/12/2018 01:47,15/04/1988,18/12/2018
ABAC,"Renmin Tianli Group Inc. (ABAC)",19/12/2018 01:47,20/07/2010,18/12/2018
ABAX,"ABAXIS Inc. (ABAX)",01/08/2018 00:56,23/01/1992,31/07/2018
ABB,"ABB Ltd (ABB)",19/12/2018 01:47,06/04/2001,18/12/2018
ABBV,"AbbVie Inc. (ABBV)",19/12/2018 01:48,02/01/2013,18/12/2018
ABC,"AmerisourceBergen Corporation (ABC)",19/12/2018 01:48,04/04/1995,18/12/2018
ABCB,"Ameris Bancorp (ABCB)",19/12/2018 01:47,19/05/1994,18/12/2018
ABCD,"Cambium Learning Group Inc. (ABCD)",18/12/2018 01:44,09/12/2009,17/12/2018
ABCO,"The Advisory Board Company (ABCO)",09/04/2018 06:44,13/11/2001,17/11/2017
ABCW,"Anchor BanCorp Wisconsin Inc (DE) (ABCW)",08/04/2018 09:00,22/10/2014,29/04/2016
ABDC,"Alcentra Capital Corp. (ABDC)",19/12/2018 01:47,09/05/2014,18/12/2018
ABE,"Aberdeen Emerging Markets Company Oppotunities Fund Inc. (ABE)",28/04/2018 00:52,03/08/2015,27/04/2018
ABEO,"Abeona Therapeutics Inc. (ABEO)",19/12/2018 01:48,19/09/1980,18/12/2018
ABEOW,"Abeona Therapeutics Inc. Warrant (ABEOW)",15/12/2018 01:50,22/06/2015,14/12/2018
ABEV,"Ambev S.A. American Depositary Shares (Each representing 1) (ABEV)",19/12/2018 01:47,05/03/1997,18/12/2018
ABG,"Asbury Automotive Group Inc (ABG)",19/12/2018 01:47,21/03/2002,18/12/2018
ABGB,"Abengoa S.A. ADR (Sponsored) Repstg Cl B Shs (ABGB)",14/06/2018 18:40,17/10/2013,27/04/2016
ABIL,"Ability Inc. (ABIL)",19/12/2018 01:48,24/12/2015,18/12/2018
ABILW,"ABILW (ABILW)",08/04/2018 09:23,24/12/2015,30/03/2016
ABIO,"ARCA biopharma Inc. (ABIO)",19/12/2018 01:47,08/08/1997,18/12/2018
ABLX,"Ablynx NV (ABLX)",13/06/2018 00:49,25/10/2017,12/06/2018
ABM,"ABM Industries Incorporated (ABM)",19/12/2018 01:47,19/07/1984,18/12/2018
ABMD,"ABIOMED Inc. (ABMD)",19/12/2018 01:47,30/07/1987,18/12/2018
ABR,"Arbor Realty Trust (ABR)",19/12/2018 01:47,06/05/2004,18/12/2018
ABRN,"Arbor Realty Trust 7.375% Senior Notes due 2021 (ABRN)",08/04/2018 07:13,15/05/2014,13/03/2018
ABRN_CL,"Arbor Realty Trust 7.375% Senior Notes due 2021 (ABRN_CL)",26/04/2018 00:42,14/03/2018,25/04/2018
ABR_P_A,"Arbor Realty Trust Preferred Series A (ABR_P_A)",19/12/2018 01:48,22/09/2014,18/12/2018
ABR_P_B,"Arbor Realty Trust Cumulative Redeemable Preferred Series B (ABR_P_B)",19/12/2018 01:48,22/09/2014,18/12/2018
ABR_P_C,"Arbor Realty Trust Cumulative Redeemable Preferred Series C (ABR_P_C)",19/12/2018 01:48,22/09/2014,18/12/2018
ABT,"Abbott Laboratories (ABT)",19/12/2018 01:47,06/04/1983,18/12/2018
ABTX,"Allegiance Bancshares Inc. (ABTX)",19/12/2018 01:48,08/10/2015,18/12/2018
ABUS,"Arbutus Biopharma Corporation (ABUS)",19/12/2018 01:48,03/08/2015,18/12/2018
ABW_P_B,"Associated Banc Corp Pfd. (ABW_P_B)",08/04/2018 07:13,22/09/2014,22/12/2014
ABX,"Barrick Gold Corporation (BC) (ABX)",19/12/2018 01:47,04/02/1985,18/12/2018
AC,"Associated Capital Group Inc. (AC)",19/12/2018 01:48,01/12/2015,18/12/2018
ACA,"Arcosa Inc. (ACA)",19/12/2018 01:48,01/11/2018,18/12/2018
ACAD,"ACADIA Pharmaceuticals Inc. (ACAD)",19/12/2018 01:47,27/05/2004,18/12/2018
ACAS,"American Capital Ltd. (ACAS)",12/04/2018 01:16,02/09/1997,03/01/2017
ACAT,"Arctic Cat Inc. (ACAT)",07/04/2018 06:08,27/06/1990,06/03/2017
ACA_W,"Arcosa Inc. When Issued (ACA_W)",01/11/2018 00:58,30/10/2018,31/10/2018
ACB,"Aurora Cannabis Inc. (ACB)",19/12/2018 01:48,23/10/2018,18/12/2018
ACBI,"Atlantic Capital Bancshares Inc. (ACBI)",19/12/2018 01:48,02/11/2015,18/12/2018
ACC,"American Campus Communities Inc (ACC)",19/12/2018 01:47,16/08/2004,18/12/2018
ACCO,"Acco Brands Corporation (ACCO)",19/12/2018 01:48,17/08/2005,18/12/2018
ACCU,"Accuvest Global Opportunities ETF (ACCU)",08/04/2018 05:32,26/01/2012,09/01/2015
ACE,"ACE Ltd (ACE)",12/04/2018 01:19,26/03/1993,14/01/2016
ACER,"Acer Therapeutics Inc. (ACER)",19/12/2018 01:47,14/04/2004,18/12/2018
ACERW,"Acer Therapeutics Inc. Warrant (ACERW)",08/04/2018 09:09,14/04/2015,05/04/2018
ACET,"Aceto Corporation (ACET)",19/12/2018 01:47,26/03/1990,18/12/2018
ACFC,"Atlantic Coast Financial Corporation (ACFC)",26/05/2018 00:44,05/10/2004,25/05/2018
ACFN,"Acorn Energy Inc (ACFN)",07/04/2018 05:23,11/02/1992,23/07/2015
ACG,"AllianceBernstein Income Fund (ACG)",09/04/2018 14:42,21/08/1987,18/04/2016
ACGL,"Arch Capital Group Ltd. (ACGL)",19/12/2018 01:47,14/09/1995,18/12/2018
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of5.45% Non-Cumulative Preferred Shares Series F (ACGLO)",19/12/2018 01:47,21/08/2017,18/12/2018
ACGLP,"Arch Capital Group Ltd. Depositary Shares Representing Interest in 5.25% Non-Cumulative Preferred Series E Shrs (ACGLP)",19/12/2018 01:48,03/10/2016,18/12/2018
ACH,"Aluminum Corporation of China Limited American Depositary Shares (ACH)",19/12/2018 01:48,11/12/2001,18/12/2018
ACHC,"Acadia Healthcare Company Inc. (ACHC)",19/12/2018 01:48,04/03/1994,18/12/2018
ACHN,"Achillion Pharmaceuticals Inc. (ACHN)",19/12/2018 01:47,09/11/2006,18/12/2018
ACHV,"Achieve Life Sciences Inc. (ACHV)",19/12/2018 01:47,13/10/1995,18/12/2018
ACI,"Arch Coal Inc. (ACI)",10/05/2018 16:47,12/08/1988,11/01/2016
ACIA,"Acacia Communications Inc. (ACIA)",19/12/2018 01:48,13/05/2016,18/12/2018
ACIIQ,"Arch Coal Inc. (ACIIQ)",09/05/2018 20:34,12/01/2016,12/01/2016
ACIM,"SPDR MSCI ACWI IMI (ACIM)",19/12/2018 01:48,05/03/2012,18/12/2018
ACIU,"AC Immune SA (ACIU)",19/12/2018 01:48,23/09/2016,18/12/2018
ACIW,"ACI Worldwide Inc. (ACIW)",19/12/2018 01:47,27/02/1995,18/12/2018
ACLS,"Axcelis Technologies Inc. (ACLS)",19/12/2018 01:48,11/07/2000,18/12/2018
ACM,"AECOM (ACM)",19/12/2018 01:47,10/05/2007,18/12/2018
ACMP,"Access Midstream Partners (ACMP)",07/04/2018 05:22,29/07/2010,02/02/2015
ACMR,"ACM Research Inc. (ACMR)",19/12/2018 01:48,03/11/2017,18/12/2018
ACM_W,"ACM.W (ACM_W)",08/04/2018 09:00,17/10/2014,27/10/2014
ACN,"Accenture plc Class A (Ireland) (ACN)",19/12/2018 01:47,19/07/2001,18/12/2018
ACNB,"ACNB Corporation (ACNB)",19/12/2018 01:47,02/01/1996,18/12/2018
ACOR,"Acorda Therapeutics Inc. (ACOR)",19/12/2018 01:47,10/02/2006,18/12/2018
ACP,"Aberdeen Income Credit Strategies Fund (ACP)",19/12/2018 01:47,27/01/2011,18/12/2018
ACRE,"Ares Commercial Real Estate Corporation (ACRE)",19/12/2018 01:47,27/04/2012,18/12/2018
ACRS,"Aclaris Therapeutics Inc. (ACRS)",19/12/2018 01:48,07/10/2015,18/12/2018
ACRX,"AcelRx Pharmaceuticals Inc. (ACRX)",19/12/2018 01:48,11/02/2011,18/12/2018
ACSF,"American Capital Senior Floating Ltd. (ACSF)",25/08/2018 00:50,16/01/2014,24/08/2018
ACSG,"Xtrackers MSCI ACWI ex USA ESG Leaders Equity (ACSG)",19/12/2018 01:48,06/12/2018,18/12/2018
ACST,"Acasti Pharma Inc. (ACST)",19/12/2018 01:47,07/02/2012,18/12/2018
ACT,"AdvisorShares Vice ETF (ACT)",19/12/2018 01:47,13/12/2017,18/12/2018
ACTA,"Actua Corporation (ACTA)",07/04/2018 18:13,05/08/1999,07/02/2018
ACTG,"Acacia Research Corporation (ACTG)",19/12/2018 01:48,16/12/2002,18/12/2018
ACT_P_A,"Actavis plc 5.500% Pfd Conv Ser A (ACT_P_A)",08/04/2018 09:08,05/03/2015,12/06/2015
ACTS,"Actions Semiconductor Co. Ltd. (ACTS)",07/04/2018 05:24,30/11/2005,19/12/2016
ACTX,"Global X Guru Activist ETF (ACTX)",08/04/2018 09:10,29/04/2015,06/10/2017
ACU,"Acme United Corporation. (ACU)",19/12/2018 01:47,07/09/1984,18/12/2018
ACUR,"Acura Pharmaceuticals Inc. (ACUR)",07/04/2018 05:25,17/03/1992,22/02/2017
ACV,"AllianzGI Diversified Income & Convertible Fund of Beneficial Interest (ACV)",19/12/2018 01:48,22/05/2015,18/12/2018
ACW,"Accuride Corporation (ACW)",07/04/2018 05:22,03/03/2010,17/11/2016
AC_WD,"Associated Capital Group Inc (AC_WD)",08/04/2018 09:22,09/11/2015,25/11/2015
ACWF,"iShares Edge MSCI Multifactor Global (ACWF)",19/12/2018 01:48,04/05/2015,18/12/2018
ACWI,"iShares MSCI ACWI Index Fund (ACWI)",19/12/2018 01:47,28/03/2008,18/12/2018
ACWV,"iShares Edge MSCI Min Vol Global (ACWV)",31/05/2018 18:54,20/10/2011,21/08/2017
ACWX,"iShares MSCI ACWI ex US Index Fund (ACWX)",19/12/2018 01:47,01/04/2008,18/12/2018
ACXM,"Acxiom Holdings Inc. (ACXM)",02/10/2018 03:58,07/09/1984,01/10/2018
ACY,"AeroCentury Corp. (ACY)",19/12/2018 01:47,20/01/1998,18/12/2018
ADAP,"Adaptimmune Therapeutics plc (ADAP)",19/12/2018 01:48,06/05/2015,18/12/2018
ADAT,"Authentidate Holding Corp (ADAT)",07/04/2018 06:27,14/05/1992,28/01/2016
ADBE,"Adobe Inc. (ADBE)",19/12/2018 01:48,14/08/1986,18/12/2018
ADC,"Agree Realty Corporation (ADC)",19/12/2018 01:47,15/04/1994,18/12/2018
ADEP,"Adept Technology Inc. (ADEP)",07/04/2018 05:26,15/12/1995,23/10/2015
ADES,"Advanced Emissions Solutions Inc. (ADES)",19/12/2018 01:48,23/01/2004,18/12/2018
ADGE,"American DG Energy Inc. (ADGE)",12/04/2018 01:18,27/12/2007,18/05/2017
ADI,"Analog Devices Inc. (ADI)",19/12/2018 01:47,19/07/1984,18/12/2018
ADIL,"Adial Pharmaceuticals Inc (ADIL)",19/12/2018 01:48,27/07/2018,18/12/2018
ADILW,"Adial Pharmaceuticals Inc Warrant (ADILW)",19/12/2018 01:48,27/07/2018,18/12/2018
ADK,"Adcare Health Systems Inc (GA) (ADK)",14/06/2018 19:30,21/12/2006,29/09/2017
ADK_P_A,"Adcare Health Systems Inc 10.875% Series A Cumulative Redeemable Preferred Stock no par value per share (GA) (ADK_P_A)",08/04/2018 07:12,22/09/2014,29/09/2017
ADM,"Archer-Daniels-Midland Company (ADM)",19/12/2018 01:47,05/04/1983,18/12/2018
ADMA,"ADMA Biologics Inc (ADMA)",19/12/2018 01:47,17/10/2013,18/12/2018
ADMP,"Adamis Pharmaceuticals Corporation (ADMP)",19/12/2018 01:47,14/08/1995,18/12/2018
ADMS,"Adamas Pharmaceuticals Inc. (ADMS)",19/12/2018 01:48,10/04/2014,18/12/2018
ADNC,"Audience Inc. (ADNC)",07/04/2018 06:25,11/05/2012,30/06/2015
ADNT,"Adient plc (ADNT)",19/12/2018 01:47,31/10/2016,18/12/2018
ADNT_W,"Adient plc When Issued (ADNT_W)",08/04/2018 09:33,17/10/2016,28/10/2016
ADOM,"ADOMANI Inc. (ADOM)",19/12/2018 01:48,15/06/2017,18/12/2018
ADP,"Automatic Data Processing Inc. (ADP)",19/12/2018 01:48,06/04/1983,18/12/2018
ADPT,"Adeptus Health Inc. (ADPT)",07/04/2018 05:26,25/06/2014,19/04/2017
ADPVV,"Automatic Data Processing Inc. (ADPVV)",08/04/2018 08:57,24/09/2014,30/09/2014
ADRA,"Invesco BLDRS Asia 50 ADR Index Fund (ADRA)",19/12/2018 01:47,14/11/2002,18/12/2018
ADRD,"Invesco BLDRS Developed Markets 100 ADR Index Fund (ADRD)",19/12/2018 01:47,14/11/2002,18/12/2018
ADRE,"Invesco BLDRS Emerging Markets 50 ADR Index Fund (ADRE)",19/12/2018 01:47,14/11/2002,18/12/2018
ADRO,"Aduro Biotech Inc. (ADRO)",19/12/2018 01:48,15/04/2015,18/12/2018
ADRU,"Invesco BLDRS Europe Select ADR Index Fund (ADRU)",19/12/2018 01:47,14/11/2002,18/12/2018
ADS,"Alliance Data Systems Corporation (ADS)",19/12/2018 01:47,15/06/2001,18/12/2018
ADSK,"Autodesk Inc. (ADSK)",19/12/2018 01:47,01/07/1985,18/12/2018
ADSW,"Advanced Disposal Services Inc. (ADSW)",19/12/2018 01:48,06/10/2016,18/12/2018
ADT,"ADT Inc. (ADT)",19/12/2018 01:47,19/01/2018,18/12/2018
ADT_3,"ADT CORP (ADT_3)",16/07/2018 14:38,01/10/2012,29/04/2016
ADTN,"ADTRAN Inc. (ADTN)",19/12/2018 01:47,10/08/1994,18/12/2018
ADUS,"Addus HomeCare Corporation (ADUS)",19/12/2018 01:47,28/10/2009,18/12/2018
ADVM,"Adverum Biotechnologies Inc. (ADVM)",19/12/2018 01:48,12/05/2016,18/12/2018
ADVS,"Advent Software Inc. (ADVS)",07/04/2018 05:28,16/11/1995,07/07/2015
ADX,"Adams Diversified Equity Fund Inc. (ADX)",19/12/2018 01:47,19/07/1984,18/12/2018
ADXS,"Advaxis Inc. (ADXS)",19/12/2018 01:47,28/07/2005,18/12/2018
ADXSW,"Advaxis Inc. Warrants (ADXSW)",20/10/2018 00:52,24/09/2014,18/10/2018
ADZ,"DB Agriculture Short ETN due April 1 2038 (ADZ)",03/08/2018 00:53,16/04/2008,02/08/2018
AE,"Adams Resources & Energy Inc. (AE)",19/12/2018 01:47,07/09/1984,18/12/2018
AEB,"AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands) (AEB)",19/12/2018 01:48,23/11/2005,18/12/2018
AEC,"Associated Estates Realty Corporation (AEC)",11/04/2018 23:29,11/11/1993,06/08/2015
AED,"AEGON N.V. Perp. Cap. Securities (Netherlands) (AED)",19/12/2018 01:48,23/11/2005,18/12/2018
AEE,"Ameren Corporation (AEE)",19/12/2018 01:47,02/01/1998,18/12/2018
AEF,"Aberdeen Emerging Markets Equity Income Fund Inc. (AEF)",19/12/2018 01:47,11/01/1990,18/12/2018
AEG,"AEGON N.V. (AEG)",19/12/2018 01:47,01/07/1985,18/12/2018
AEGN,"Aegion Corp (AEGN)",19/12/2018 01:47,24/04/1989,18/12/2018
AEGR,"Aegerion Pharmaceuticals Inc. (AEGR)",12/04/2018 01:21,22/10/2010,29/11/2016
AEH,"AEGON N.V. Perp. Cap Secs. (AEH)",19/12/2018 01:48,15/06/2005,18/12/2018
AEHR,"Aehr Test Systems (AEHR)",19/12/2018 01:47,15/08/1997,18/12/2018
AEIS,"Advanced Energy Industries Inc. (AEIS)",19/12/2018 01:47,17/11/1995,18/12/2018
AEK,"Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042 (AEK)",13/04/2018 01:13,07/02/2012,12/04/2018
AEK_CL,"Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042 (AEK_CL)",15/05/2018 00:47,13/04/2018,14/05/2018
AEL,"American Equity Investment Life Holding Company (AEL)",19/12/2018 01:48,04/12/2003,18/12/2018
AEM,"Agnico Eagle Mines Limited (AEM)",19/12/2018 01:48,07/09/1984,18/12/2018
AEMD,"Aethlon Medical Inc. (AEMD)",19/12/2018 01:48,13/07/2015,18/12/2018
AEO,"American Eagle Outfitters Inc. (AEO)",19/12/2018 01:47,14/04/1994,18/12/2018
AEP,"American Electric Power Company Inc. (AEP)",19/12/2018 01:48,02/01/1970,18/12/2018
AEPI,"AEP Industries Inc. (AEPI)",09/04/2018 05:04,31/01/1986,20/01/2017
AER,"AerCap Holdings N.V. (AER)",19/12/2018 01:47,21/11/2006,18/12/2018
AERI,"Aerie Pharmaceuticals Inc. (AERI)",19/12/2018 01:47,25/10/2013,18/12/2018
AES,"The AES Corporation (AES)",19/12/2018 01:47,26/06/1991,18/12/2018
AES_P_C,"AES Corporation (The) Class C Preferred Stock (AES_P_C)",08/04/2018 07:13,22/09/2014,24/05/2017
